status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
1.0,1.0,58.0,1.0,15.0,23.0
1.0,1.0,87.0,2.0,15.0,0.0
0.0,1.0,87.0,2.0,15.0,0.0
0.0,1.0,92.0,1.0,15.0,23.0
1.0,1.0,82.0,2.0,15.0,23.0
0.0,1.0,82.0,2.0,7.0,23.0
2.0,1.0,37.0,8.0,15.0,0.0
3.0,1.0,49.4,2.0,15.0,0.0
1.0,1.0,22.0,0.0,1.0,0.0
0.0,1.0,16.0,0.0,1.0,0.0
1.0,1.0,15.0,0.0,1.0,0.0
0.0,1.0,15.0,0.0,1.0,0.0
0.0,1.0,53.4,0.0,15.0,23.0
2.0,1.0,25.0,2.0,15.0,23.0
1.0,1.0,42.0,0.0,15.0,23.0
0.0,1.0,43.0,0.0,15.0,0.0
0.0,1.0,43.0,0.0,15.0,23.0
2.0,1.0,43.0,2.0,41.0,14.0
3.0,1.0,33.0,2.0,15.0,23.0
0.0,1.0,9.0,11.0,15.0,14.0
1.0,1.0,26.0,3.0,15.0,22.0
1.0,1.0,32.0,2.0,41.0,6.0
1.0,1.0,32.0,3.0,41.0,6.0
1.0,1.0,10.0,11.0,15.0,0.0
0.0,1.0,26.0,0.0,121.0,14.0
1.0,1.0,27.0,0.0,15.0,14.0
1.0,1.0,52.0,1.5,41.0,6.0
1.0,1.0,52.0,2.25,41.0,14.0
2.0,1.0,43.0,1.0,41.0,14.0
1.0,1.0,24.0,1.0,44.0,0.0
1.0,1.0,24.0,2.25,15.0,22.0
1.0,1.0,22.0,1.0,15.0,0.0
0.0,1.0,92.0,2.25,15.0,14.0
0.0,1.0,92.0,4.0,15.0,14.0
1.0,1.0,92.0,1.5,15.0,14.0
1.0,1.0,78.0,2.25,15.0,14.0
1.0,1.0,92.0,3.5,7.0,0.0
1.0,1.0,92.0,3.5,7.0,5.0
2.0,3.0,20.0,1.75,115.0,0.0
1.0,1.0,92.0,4.5,7.0,14.0
2.0,1.0,92.0,2.0,7.0,5.0
1.0,1.0,14.0,8.0,15.0,14.0
1.0,1.0,92.0,1.0,15.0,14.0
1.0,1.0,52.0,8.0,15.0,14.0
1.0,2.0,14.0,8.0,15.0,14.0
1.0,1.0,25.0,2.25,15.0,14.0
1.0,1.0,52.0,8.0,15.0,14.0
1.0,1.0,67.0,2.0,15.0,5.0
1.0,1.0,67.0,1.0,15.0,14.0
1.0,1.0,68.0,3.5,15.0,5.0
1.0,1.0,59.0,2.0,15.0,0.0
1.0,2.0,62.0,0.0,15.0,14.0
1.0,1.0,82.0,2.25,744.0,5.0
1.0,1.0,87.0,1.75,17.0,0.0
1.0,2.0,87.0,1.0,741.0,14.0
1.0,1.0,92.0,2.5,15.0,5.0
1.0,1.0,51.0,2.25,15.0,14.0
1.0,1.0,92.0,2.25,15.0,14.0
3.0,1.0,22.0,3.0,15.0,0.0
1.0,1.0,23.0,1.0,15.0,0.0
1.0,1.0,47.0,8.0,15.0,14.0
1.0,1.0,50.0,1.0,15.0,22.0
2.0,1.0,12.0,8.0,15.0,0.0
1.0,1.0,57.0,1.75,15.0,14.0
0.0,1.0,40.0,0.0,1.0,22.0
0.0,1.0,15.0,0.0,1.0,0.0
1.0,1.0,16.0,1.75,1.0,22.0
1.0,1.0,15.0,0.0,1.0,0.0
1.0,1.0,34.0,0.0,1.0,22.0
1.0,1.0,14.0,0.0,1.0,0.0
1.0,1.0,44.8,2.0,15.0,0.0
1.0,1.0,40.0,1.75,15.0,6.0
1.0,1.0,39.0,1.75,1541.0,6.0
1.0,1.0,45.0,1.75,15.0,6.0
